COMMENT,arora_burma14_problem_size_14_nru_d_drunken_absolute_2021_03_29__02_57_59_k_5__d_4_cache_sizes_1024_to_1024
SORT_BY,14
LABEL,nru_d_drunken_absolute cache sizes=1024 to 1024 k=5 d=4
1024,16029
