COMMENT,prefix_suffix_single_nru_d_drunken_relative_2021_03_28__23_28_20_k_10__d_7_cache_sizes_64_to_64_problem_size_10000
SORT_BY,10000
LABEL,nru_d_drunken_relative cache sizes=64 to 64
64,380668
