COMMENT,LCS2_lru_2021_03_27__10_42_00_k_3__d_2_cache_sizes_100_to_3000_problem_size_100
SORT_BY,
LABEL,FFRU Relative
22.4,296771
25.6,314978
30.171429,303754
36.571429,380668
37.546667,365818
40,366931
44.8,146816
48,132443
51.2,137826
64,64688
81.92,71253
87.771429,39442
89.6,80941
96,77344
102.4,64582
