COMMENT,prefix_suffix_single_lru_2021_03_28__22_33_08_k_3__d_2_cache_sizes_314_to_317_problem_size_10000
SORT_BY,10000
LABEL,lru cache sizes=314 to 317
318,162737
317,163233
316,163729
315,164225
