COMMENT,prefix_suffix_single_nri_d_drunken_2021_03_28__23_26_02_k_8__d_5_cache_sizes_64_to_64_problem_size_10000
SORT_BY,10000
LABEL,nri_d_drunken cache sizes=64 to 64
64,377512
