COMMENT,prefix_suffix_single_nru_d_drunken_absolute_2021_03_28__23_27_22_k_9__d_7_cache_sizes_64_to_64_problem_size_10000
SORT_BY,10000
LABEL,nru_d_drunken_absolute cache sizes=64 to 64
64,325395
