COMMENT,arora_burma14_problem_size_14_nri_d_drunken_2021_03_29__02_57_08_k_10__d_8_cache_sizes_2048_to_2048
SORT_BY,14
LABEL,nri_d_drunken cache sizes=2048 to 2048 k=10 d=8
2048,8096
